map_name      250 glon       250 glat       350 glon       350 glat       
4.015-0.021    4.0878         0.0220         4.0877         0.0226         
4.021+0.418    4.0162         0.4001         4.0159         0.4019         
4.385-0.049    4.3579         -0.0532        4.3591         -0.0525        
4.684-0.442    4.7049         -0.4403        4.7065         -0.4391        
4.753+0.129    4.7865         0.0770         4.7872         0.0764         
4.797+0.162    4.8059         0.1601         4.8064         0.1593         
4.797-0.191    4.7835         -0.1990        4.7829         -0.1982        
4.798+0.094    4.7988         0.1100         4.7991         0.1100         
4.894-0.127    4.9285         -0.1440        4.9288         -0.1433        
4.894-0.128    4.9382         -0.1345        4.9382         -0.1345        
46.24-0.002    46.2424        -0.0014        46.2429        -0.0017        
6.225-0.499    6.2630         -0.5097        6.2630         -0.5086        
6.303-0.57     6.2982         -0.5635        6.2981         -0.5641        
7.257-0.147    7.1956         -0.0833        7.1954         -0.0825        
8.203+0.477    8.1877         0.4788         8.1871         0.4793         
8.229+0.179    8.2461         0.1855         8.2472         0.1840         
