map_name       250 glon       250 glat       350 glon       350 glat       
22.546-0.526   22.5338        -0.5290        22.5352        -0.5289        
22.546-0.526   22.5301        -0.5168        22.5294        -0.5167        
22.585-0.204   22.5867        -0.2035        22.5860        -0.2037        
22.698-0.21    22.6975        -0.2105        22.6979        -0.2106        
22.729+0.126   22.7183        0.1080         22.7181        0.1086         
22.729+0.126   22.7277        0.1261         22.7276        0.1263         
22.795-0.457   22.7970        -0.4811        22.7971        -0.4812        
22.795-0.457   22.8073        -0.4507        22.8079        -0.4519        
22.795-0.457   22.8307        -0.4541        22.8308        -0.4541        
22.866-0.41    22.8312        -0.4066        22.8316        -0.4070        
22.942-0.193   22.9492        -0.1896        22.9491        -0.1896        
22.945-0.446   22.9453        -0.4445        22.9469        -0.4436        
22.991+0.725   22.9922        0.7271         22.9920        0.7267         
23.031-0.624   23.0311        -0.6239        23.0320        -0.6242        
23.066+0.049   23.0655        0.0396         23.0660        0.0399         
23.066+0.049   23.0689        0.0483         23.0687        0.0485         
23.066+0.049   23.0681        0.0616         23.0681        0.0626         
23.078+0.569   23.0364        0.4993         23.0367        0.5015         
23.091-0.334   23.0901        -0.3336        23.0913        -0.3339        
23.091-0.334   23.0880        -0.3084        23.0888        -0.3106        
23.104-0.071   23.1015        -0.0881        23.1020        -0.0871        
23.117+0.137   23.1140        0.1113         23.1145        0.1097         
23.126+0.624   23.1176        0.5995         23.1203        0.6015         
23.136-0.483   23.1211        -0.4509        23.1206        -0.4489        
23.14-0.326    23.1244        -0.3330        23.1253        -0.3330        
23.234-0.27    23.2272        -0.2755        23.2273        -0.2753        
23.234-0.27    23.2351        -0.2677        23.2347        -0.2680        
23.252+0.017   23.2255        0.0072         23.2259        0.0073         
23.252+0.017   23.2442        0.0061         23.2434        0.0078         
23.252+0.017   23.2523        0.0184         23.2518        0.0188         
23.294-0.202   23.2784        -0.2150        23.2773        -0.2152        
23.294-0.202   23.3103        -0.1935        23.3101        -0.1938        
23.296+0.055   23.2957        0.0548         23.2966        0.0550         
23.321-0.078   23.3240        -0.0771        23.3231        -0.0777        
23.378+0.098   23.3790        0.0991         23.3777        0.1000         
23.382-0.022   23.3814        -0.0207        23.3819        -0.0206        
23.423-0.103   23.3192        -0.1071        23.3196        -0.1071        
23.423-0.103   23.3255        -0.1142        23.3272        -0.1140        
23.423-0.103   23.3509        -0.1562        23.3522        -0.1558        
23.423-0.103   23.3781        -0.1307        23.3786        -0.1297        
23.463-0.23    23.4534        -0.2302        23.4546        -0.2294        
23.477-0.536   23.4450        -0.5240        23.4464        -0.5238        
23.477-0.536   23.4804        -0.5441        23.4804        -0.5422        
23.477-0.536   23.4793        -0.5343        23.4796        -0.5329        
23.56+0.331    23.5604        0.3309         23.5609        0.3321         
23.588-0.009   23.5347        -0.0589        23.5352        -0.0591        
23.646+0.245   23.6372        0.2484         23.6377        0.2483         
23.646+0.245   23.6476        0.2437         23.6474        0.2437         
23.655-0.143   23.6679        -0.1338        23.6678        -0.1342        
23.69+0.263    23.6906        0.2640         23.6899        0.2652         
23.721+0.185   23.7239        0.1846         23.7246        0.1857         
23.721+0.257   23.7226        0.2599         23.7231        0.2601         
23.721+0.257   23.7178        0.2732         23.7185        0.2730         
23.766+0.534   23.7913        0.5332         23.7914        0.5334         
23.846-0.304   23.8462        -0.3035        23.8480        -0.3041        
23.853+0.069   23.8543        0.0716         23.8547        0.0725         
23.856-0.169   23.8578        -0.1707        23.8590        -0.1704        
23.856-0.169   23.8897        -0.1801        23.8898        -0.1804        
23.864+0.018   23.8627        0.0199         23.8628        0.0201         
23.923-0.208   23.9250        -0.2081        23.9244        -0.2078        
23.98+0.149    23.9788        0.1506         23.9796        0.1507         
24.044+0.087   24.0373        0.1065         24.0378        0.1066         
24.044+0.087   24.0485        0.1037         24.0482        0.1050         
24.05-0.214    24.0496        -0.2140        24.0499        -0.2141        
24.097+0.349   24.0799        0.3451         24.0810        0.3446         
24.097+0.349   24.0966        0.3491         24.0967        0.3494         
24.153+0.394   24.1538        0.3948         24.1549        0.3954         
24.193-0.081   24.1956        -0.0795        24.1958        -0.0793        
24.296+0.206   24.2982        0.2126         24.2980        0.2123         
24.315+0.083   24.3547        0.0423         24.3521        0.0395         
24.325-0.123   24.3193        -0.1217        24.3204        -0.1221        
24.355+0.254   24.3646        0.2896         24.3666        0.2922         
24.373-0.157   24.3397        -0.1649        24.3401        -0.1650        
24.373-0.157   24.3657        -0.1670        24.3657        -0.1666        
24.392+0.448   24.3788        0.4557         24.3794        0.4555         
24.392+0.448   24.3968        0.4433         24.3949        0.4451         
24.392+0.448   24.3843        0.4733         24.3864        0.4741         
24.392+0.448   24.4210        0.4341         24.4209        0.4342         
24.427-0.527   24.4285        -0.5267        24.4292        -0.5268        
24.467+0.285   24.4563        0.2864         24.4578        0.2858         
24.475-0.518   24.4936        -0.4992        24.4943        -0.4997        
24.485-0.22    24.4583        -0.2754        24.4572        -0.2761        
24.485-0.22    24.4385        -0.2081        24.4394        -0.2077        
24.485-0.22    24.5310        -0.2105        24.5316        -0.2099        
24.485-0.22    24.5469        -0.2145        24.5468        -0.2140        
24.491+0.339   24.4676        0.3111         24.4671        0.3105         
24.491+0.339   24.4809        0.3230         24.4818        0.3194         
24.491+0.339   24.5298        0.3225         24.5286        0.3226         
24.491+0.339   24.5268        0.3524         24.5283        0.3515         
24.491-0.363   24.4919        -0.3628        24.4923        -0.3625        
24.528-0.136   24.5068        -0.1692        24.5068        -0.1687        
24.528-0.136   24.5111        -0.1483        24.5100        -0.1477        
24.528-0.136   24.5305        -0.1271        24.5297        -0.1262        
24.547-0.736   24.5627        -0.7288        24.5630        -0.7289        
24.555+0.214   24.5915        0.2123         24.5915        0.2123         
24.566+0.343   24.5675        0.3311         24.5670        0.3332         
24.566+0.343   24.5966        0.3316         24.5959        0.3330         
24.576-0.262   24.5760        -0.2640        24.5762        -0.2648        
24.579-0.141   24.6139        -0.1402        24.6144        -0.1400        
24.596+0.133   24.5964        0.1354         24.5971        0.1357         
24.668-0.115   24.6915        -0.1243        24.6912        -0.1240        
24.789+0.633   24.7881        0.6517         24.7891        0.6531         
24.813-0.107   24.8172        -0.1285        24.8170        -0.1288        
24.855+0.683   24.8552        0.6834         24.8561        0.6834         
24.964-0.173   24.8627        -0.1184        24.8633        -0.1182        
24.964-0.173   24.8914        -0.1298        24.8907        -0.1291        
24.964-0.173   24.9331        -0.1687        24.9336        -0.1680        
24.964-0.173   24.9220        -0.1367        24.9216        -0.1355        
24.964-0.173   24.9636        -0.1714        24.9645        -0.1721        
24.964-0.173   24.9552        -0.0788        24.9553        -0.0792        
24.964-0.173   24.9935        -0.0993        24.9944        -0.0995        
25.046-0.183   25.0483        -0.1813        25.0472        -0.1805        
25.075+0.202   25.0753        0.2019         25.0754        0.2023         
25.076+0.182   25.0766        0.1828         25.0767        0.1826         
25.142-0.471   25.1590        -0.4619        25.1593        -0.4621        
25.166+0.753   25.1679        0.7527         25.1676        0.7544         
25.205-0.466   25.1914        -0.4624        25.1916        -0.4629        
25.236+0.451   25.2369        0.4516         25.2372        0.4515         
25.266+0.38    25.2706        0.3797         25.2705        0.3796         
25.272-0.434   25.2842        -0.4397        25.2846        -0.4390        
25.273-0.74    25.2931        -0.7628        25.2945        -0.7634        
25.342-0.196   25.3274        -0.1972        25.3274        -0.1974        
25.344-0.063   25.3311        -0.1209        25.3311        -0.1205        
25.344-0.063   25.3485        -0.0976        25.3500        -0.0974        
25.354+0.263   25.3515        0.2325         25.3510        0.2335         
