map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
1.874+0.473    1              250            1.8557         0.4715         267.0388       -27.1051       0.00           
1.874+0.473    1              350            1.8556         0.4726         267.0377       -27.1046       3.98           
1.977-0.633    1              250            1.9643         -0.6344        268.1705       -27.5787       0.00           
1.977-0.633    1              350            1.9656         -0.6341        268.1710       -27.5775       4.80           
10.014-0.818   1              250            9.9903         -0.7711        272.6556       -20.6719       0.00           
10.014-0.818   1              350            9.9914         -0.7697        272.6549       -20.6703       6.41           
10.124-0.445   1              250            10.0832        -0.4139        272.3695       -20.4180       0.00           
10.124-0.445   1              350            10.0841        -0.4147        272.3707       -20.4176       4.33           
10.124-0.445   2              250            10.1238        -0.4581        272.4318       -20.4039       0.00           
10.124-0.445   2              350            10.1248        -0.4570        272.4312       -20.4025       5.35           
10.124-0.445   3              250            10.1378        -0.4593        272.4401       -20.3922       0.00           
10.124-0.445   3              350            10.1375        -0.4593        272.4399       -20.3925       1.08           
10.176-0.408   1              250            10.1249        -0.4442        272.4193       -20.3962       0.00           
10.176-0.408   1              350            10.1254        -0.4444        272.4198       -20.3958       1.94           
10.176-0.408   2              250            10.1420        -0.4420        272.4261       -20.3801       0.00           
10.176-0.408   2              350            10.1427        -0.4416        272.4261       -20.3793       2.90           
10.201-0.331   1              250            10.1649        -0.2964        272.3020       -20.2897       0.00           
10.201-0.331   1              350            10.1683        -0.2944        272.3019       -20.2857       14.20          
10.201-0.331   2              250            10.1959        -0.2285        272.2547       -20.2296       0.00           
10.201-0.331   2              350            10.1955        -0.2281        272.2541       -20.2298       2.04           
10.201-0.331   3              250            10.2067        -0.2435        272.2743       -20.2275       0.00           
10.201-0.331   3              350            10.2067        -0.2433        272.2741       -20.2274       0.72           
10.201-0.331   4              250            10.2633        -0.3201        272.3749       -20.2150       0.00           
10.201-0.331   4              350            10.2646        -0.3202        272.3757       -20.2139       4.69           
10.201-0.331   5              250            10.3114        -0.3502        272.4278       -20.1875       0.00           
10.201-0.331   5              350            10.3127        -0.3501        272.4284       -20.1863       4.69           
10.215-0.206   1              250            10.2246        -0.1853        272.2293       -20.1836       0.00           
10.215-0.206   1              350            10.2248        -0.1838        272.2280       -20.1827       5.45           
10.257-0.128   1              250            10.2370        -0.1254        272.1799       -20.1437       0.00           
10.257-0.128   1              350            10.2380        -0.1249        272.1799       -20.1426       4.02           
10.257-0.128   2              250            10.2554        -0.1238        272.1879       -20.1269       0.00           
10.257-0.128   2              350            10.2549        -0.1232        272.1871       -20.1270       2.81           
10.257-0.128   3              250            10.2500        -0.1092        272.1715       -20.1245       0.00           
10.257-0.128   3              350            10.2500        -0.1094        272.1717       -20.1246       0.72           
10.257-0.128   4              250            10.2705        -0.1280        272.1996       -20.1157       0.00           
10.257-0.128   4              350            10.2704        -0.1288        272.2003       -20.1162       2.90           
10.278-0.337   1              250            10.2711        -0.3702        272.4257       -20.2324       0.00           
10.278-0.337   1              350            10.2704        -0.3706        272.4257       -20.2332       2.90           
10.589-0.308   1              250            10.5783        -0.3488        272.5638       -19.9531       0.00           
10.589-0.308   1              350            10.5776        -0.3478        272.5625       -19.9533       4.39           
10.65-0.444    1              250            10.6215        -0.4425        272.6733       -19.9605       0.00           
10.65-0.444    1              350            10.6208        -0.4408        272.6713       -19.9603       6.62           
10.65-0.444    2              250            10.6208        -0.4211        272.6530       -19.9508       0.00           
10.65-0.444    2              350            10.6213        -0.4210        272.6531       -19.9503       1.84           
10.693-0.402   1              250            10.6807        -0.4253        272.6876       -19.9004       0.00           
10.693-0.402   1              350            10.6795        -0.4260        272.6877       -19.9018       5.00           
10.74-0.126    1              250            10.6813        -0.0978        272.3831       -19.7417       0.00           
10.74-0.126    1              350            10.6841        -0.0984        272.3851       -19.7395       10.31          
10.755-0.189   1              250            10.7564        -0.1881        272.5057       -19.7196       0.00           
10.755-0.189   1              350            10.7576        -0.1884        272.5066       -19.7187       4.45           
10.755-0.189   2              250            10.7797        -0.2263        272.5532       -19.7176       0.00           
10.755-0.189   2              350            10.7786        -0.2268        272.5531       -19.7188       4.35           
10.993-0.171   1              250            11.0046        -0.1717        272.6177       -19.4943       0.00           
10.993-0.171   1              350            11.0050        -0.1715        272.6177       -19.4939       1.61           
11.081-0.532   1              250            11.0672        -0.5363        272.9887       -19.6151       0.00           
11.081-0.532   1              350            11.0666        -0.5355        272.9877       -19.6152       3.60           
11.081-0.532   2              250            11.1053        -0.5261        272.9987       -19.5768       0.00           
11.081-0.532   2              350            11.1059        -0.5264        272.9993       -19.5764       2.41           
11.09-0.961    1              250            11.0903        -0.9628        273.3980       -19.7994       0.00           
11.09-0.961    1              350            11.0877        -0.9613        273.3953       -19.8010       10.80          
11.129-0.127   1              250            11.1441        -0.1223        272.6432       -19.3483       0.00           
11.129-0.127   1              350            11.1442        -0.1229        272.6438       -19.3485       2.19           
11.232-0.101   1              250            11.2314        -0.1005        272.6676       -19.2613       0.00           
