map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
21.918-0.002   1              250            21.9198        -0.0033        277.7916       -9.7895        0.00           
21.918-0.002   1              350            21.9200        -0.0025        277.7910       -9.7890        2.97           
21.977+0.232   1              250            21.9768        0.2342         277.6048       -9.6290        0.00           
21.977+0.232   1              350            21.9739        0.2319         277.6055       -9.6327        13.32          
22.056+0.19    1              250            22.0278        0.1928         277.6660       -9.6030        0.00           
22.056+0.19    1              350            22.0280        0.1924         277.6664       -9.6030        1.61           
22.253+0.03    1              250            22.2420        0.0360         277.9074       -9.4857        0.00           
22.253+0.03    1              350            22.2431        0.0355         277.9084       -9.4849        4.35           
22.31-0.628    1              250            22.3098        -0.6268        278.5355       -9.7315        0.00           
22.31-0.628    1              350            22.3081        -0.6263        278.5343       -9.7327        6.38           
22.429+0.269   1              250            22.3833        0.3048         277.7322       -9.2360        0.00           
22.429+0.269   1              350            22.3833        0.3016         277.7351       -9.2375        11.52          
22.429+0.269   2              250            22.4153        0.2759         277.7731       -9.2210        0.00           
22.429+0.269   2              350            22.4157        0.2760         277.7732       -9.2206        1.48           
22.429+0.269   3              250            22.4307        0.2715         277.7843       -9.2094        0.00           
22.429+0.269   3              350            22.4317        0.2722         277.7841       -9.2082        4.39           
22.429+0.269   4              250            22.4153        0.3174         277.7359       -9.2018        0.00           
22.429+0.269   4              350            22.4151        0.3169         277.7362       -9.2022        1.94           
22.429+0.269   5              250            22.4383        0.2809         277.7794       -9.1983        0.00           
22.429+0.269   5              350            22.4383        0.2810         277.7793       -9.1983        0.36           
22.429+0.269   6              250            22.4416        0.2951         277.7682       -9.1888        0.00           
22.429+0.269   6              350            22.4429        0.2957         277.7683       -9.1874        5.15           
22.429+0.269   7              250            22.4525        0.3097         277.7602       -9.1724        0.00           
22.429+0.269   7              350            22.4518        0.3076         277.7618       -9.1740        7.97           
22.429+0.269   8              250            22.4682        0.3086         277.7686       -9.1590        0.00           
22.429+0.269   8              350            22.4682        0.3094         277.7679       -9.1586        2.88           
22.429+0.269   9              250            22.4906        0.3230         277.7661       -9.1325        0.00           
22.429+0.269   9              350            22.4901        0.3230         277.7659       -9.1329        1.80           
22.429+0.269   10             250            22.5160        0.3096         277.7901       -9.1162        0.00           
22.429+0.269   10             350            22.5165        0.3098         277.7901       -9.1156        1.94           
22.429+0.269   11             250            22.5128        0.3262         277.7737       -9.1113        0.00           
22.429+0.269   11             350            22.5131        0.3259         277.7741       -9.1112        1.53           
22.429+0.269   12             250            22.5084        0.3437         277.7559       -9.1071        0.00           
22.429+0.269   12             350            22.5087        0.3449         277.7550       -9.1063        4.45           
22.429+0.269   13             250            22.5052        0.3550         277.7443       -9.1047        0.00           
22.429+0.269   13             350            22.5052        0.3557         277.7436       -9.1044        2.52           
22.429+0.269   14             250            22.5276        0.3519         277.7575       -9.0863        0.00           
22.429+0.269   14             350            22.5266        0.3534         277.7557       -9.0865        6.49           
22.429+0.269   15             250            22.5726        0.3442         277.7855       -9.0500        0.00           
22.429+0.269   15             350            22.5705        0.3450         277.7838       -9.0515        8.09           
22.43-0.706    1              250            22.4336        -0.7031        278.6621       -9.6567        0.00           
22.43-0.706    1              350            22.4321        -0.7033        278.6615       -9.6582        5.45           
22.53+0.274    1              250            22.5204        0.2710         277.8268       -9.1301        0.00           
22.53+0.274    1              350            22.5200        0.2712         277.8264       -9.1304        1.61           
22.53+0.274    2              250            22.5290        0.2746         277.8276       -9.1208        0.00           
22.53+0.274    2              350            22.5295        0.2757         277.8268       -9.1199        4.35           
22.546-0.526   1              250            22.5127        -0.5187        278.5330       -9.5016        0.00           
22.546-0.526   1              350            22.5141        -0.5188        278.5338       -9.5004        5.05           
22.546-0.526   2              250            22.5221        -0.5222        278.5406       -9.4949        0.00           
22.546-0.526   2              350            22.5220        -0.5211        278.5395       -9.4944        3.98           
22.546-0.526   3              250            22.5338        -0.5290        278.5522       -9.4876        0.00           
22.546-0.526   3              350            22.5352        -0.5289        278.5527       -9.4863        5.05           
22.546-0.526   4              250            22.5301        -0.5168        278.5395       -9.4853        0.00           
22.546-0.526   4              350            22.5294        -0.5167        278.5390       -9.4858        2.55           
22.585-0.204   1              250            22.5867        -0.2035        278.2841       -9.2906        0.00           
22.585-0.204   1              350            22.5860        -0.2037        278.2840       -9.2913        2.62           
22.698-0.21    1              250            22.6975        -0.2105        278.3422       -9.1955        0.00           
22.698-0.21    1              350            22.6979        -0.2106        278.3425       -9.1952        1.48           
22.729+0.126   1              250            22.7183        0.1080         278.0658       -9.0300        0.00           
22.729+0.126   1              350            22.7181        0.1086         278.0652       -9.0299        2.28           
22.729+0.126   2              250            22.7277        0.1261         278.0540       -9.0133        0.00           
22.729+0.126   2              350            22.7276        0.1263         278.0537       -9.0133        0.80           
22.795-0.457   1              250            22.7970        -0.4811        278.6320       -9.2319        0.00           
22.795-0.457   1              350            22.7971        -0.4812        278.6321       -9.2319        0.51           
22.795-0.457   2              250            22.8073        -0.4507        278.6094       -9.2088        0.00           
22.795-0.457   2              350            22.8079        -0.4519        278.6108       -9.2088        4.83           
22.795-0.457   3              250            22.8307        -0.4541        278.6234       -9.1896        0.00           
22.795-0.457   3              350            22.8308        -0.4541        278.6235       -9.1895        0.36           
22.866-0.41    1              250            22.8312        -0.4066        278.5809       -9.1673        0.00           
22.866-0.41    1              350            22.8316        -0.4070        278.5815       -9.1671        2.04           
22.942-0.193   1              250            22.9492        -0.1896        278.4410       -8.9625        0.00           
22.942-0.193   1              350            22.9491        -0.1896        278.4410       -8.9626        0.36           
22.945-0.446   1              250            22.9453        -0.4445        278.6682       -9.0835        0.00           
22.945-0.446   1              350            22.9469        -0.4436        278.6682       -9.0816        6.61           
22.991+0.725   1              250            22.9922        0.7271         277.6386       -8.5008        0.00           
22.991+0.725   1              350            22.9920        0.7267         277.6389       -8.5012        1.61           
23.031-0.624   1              250            23.0311        -0.6239        278.8695       -9.0899        0.00           
23.031-0.624   1              350            23.0320        -0.6242        278.8702       -9.0892        3.42           
23.066+0.049   1              250            23.0655        0.0396         278.2895       -8.7536        0.00           
23.066+0.049   1              350            23.0660        0.0399         278.2895       -8.7530        2.10           
23.066+0.049   2              250            23.0689        0.0483         278.2833       -8.7466        0.00           
23.066+0.049   2              350            23.0687        0.0485         278.2830       -8.7467        1.02           
23.066+0.049   3              250            23.0681        0.0616         278.2710       -8.7412        0.00           
23.066+0.049   3              350            23.0681        0.0626         278.2701       -8.7407        3.60           
23.078+0.569   1              250            23.0364        0.4993         277.8635       -8.5671        0.00           
23.078+0.569   1              350            23.0367        0.5015         277.8616       -8.5658        7.99           
23.091-0.334   1              250            23.0901        -0.3336        278.6361       -8.9039        0.00           
23.091-0.334   1              350            23.0913        -0.3339        278.6369       -8.9029        4.45           
23.091-0.334   2              250            23.0880        -0.3084        278.6125       -8.8941        0.00           
23.091-0.334   2              350            23.0888        -0.3106        278.6148       -8.8944        8.43           
23.104-0.071   1              250            23.1015        -0.0881        278.4209       -8.7806        0.00           
23.104-0.071   1              350            23.1020        -0.0871        278.4203       -8.7797        4.02           
23.117+0.137   1              250            23.1140        0.1113         278.2478       -8.6775        0.00           
23.117+0.137   1              350            23.1145        0.1097         278.2495       -8.6778        6.03           
23.126+0.624   1              250            23.1176        0.5995         277.8116       -8.4487        0.00           
23.126+0.624   1              350            23.1203        0.6015         277.8111       -8.4454        12.10          
23.136-0.483   1              250            23.1211        -0.4509        278.7559       -8.9304        0.00           
23.136-0.483   1              350            23.1206        -0.4489        278.7539       -8.9299        7.42           
23.14-0.326    1              250            23.1244        -0.3330        278.6516       -8.8731        0.00           
23.14-0.326    1              350            23.1253        -0.3330        278.6520       -8.8723        3.24           
23.234-0.27    1              250            23.2272        -0.2755        278.6478       -8.7554        0.00           
23.234-0.27    1              350            23.2273        -0.2753        278.6477       -8.7552        0.80           
23.234-0.27    2              250            23.2351        -0.2677        278.6445       -8.7448        0.00           
23.234-0.27    2              350            23.2347        -0.2680        278.6446       -8.7453        1.80           
23.252+0.017   1              250            23.2255        0.0072         278.3932       -8.6266        0.00           
23.252+0.017   1              350            23.2259        0.0073         278.3933       -8.6262        1.48           
23.252+0.017   2              250            23.2442        0.0061         278.4029       -8.6105        0.00           
23.252+0.017   2              350            23.2434        0.0078         278.4011       -8.6105        6.76           
23.252+0.017   3              250            23.2523        0.0184         278.3957       -8.5977        0.00           
