map_name       250 glon       250 glat       350 glon       350 glat       
34.93+0.338    34.9293        0.3408         34.9296        0.3399      
34.931+0.386   34.9437        0.3896         34.9456        0.3892      
35.057-0.537   35.0242        -0.5357        35.0249        -0.5359    
35.115-0.667   35.1160        -0.6666        35.1158        -0.6669     
35.121-0.007   35.1287        -0.0077        35.1282        -0.0073     
35.142-0.407   35.1414        -0.4069        35.1413        -0.4057    
35.191-0.758   35.1518        -0.7185        35.1525        -0.7180   
35.191-0.758   35.1741        -0.7543        35.1751        -0.7542    
35.25-0.803    35.2497        -0.8031        35.2485        -0.8026     
35.549+0.049   35.5395        0.0244         35.5394        0.0244     
35.58-1.005    35.5707        -1.0111        35.5709        -1.0110  
35.606-0.244   35.6080        -0.2434        35.6080        -0.2441   
35.645-0.246   35.6488        -0.2468        35.6487        -0.2469 
35.732-0.873   35.8309        -0.8891        35.8306        -0.8886        
35.745+0.147   35.7980        0.1599         35.7973        0.1595         
36.346-0.086   36.3473        -0.0843        36.3473        -0.0837    
36.671-0.131   36.6707        -0.1282        36.6710        -0.1304   
36.899-0.41    36.9154        -0.4185        36.9158        -0.4183   
37.35-0.255    37.2773        -0.2495        37.2786        -0.2495   
37.35-0.255    37.2923        -0.2392        37.2931        -0.2381  
37.35-0.255    37.3226        -0.2318        37.3226        -0.2316  
37.35-0.255    37.3202        -0.2206        37.3200        -0.2208      
37.35-0.255    37.4074        -0.2827        37.4069        -0.2831  
37.438+0.141   37.4271        0.1416         37.4273        0.1412      
37.473+0.049   37.4745        0.0491         37.4754        0.0494    
37.487-0.811   37.4619        -0.8122        37.4625        -0.8111      
37.884-0.149   37.8859        -0.1518        37.8866        -0.1509      
38.85-0.427    38.8796        -0.3905        38.8801        -0.3903     
38.854-0.501   38.8497        -0.5569        38.8492        -0.5565   
38.854-0.501   38.8671        -0.4731        38.8675        -0.4718      
38.864-0.488   38.8555        -0.5010        38.8559        -0.5009     
38.864-0.488   38.8882        -0.4578        38.8895        -0.4571      
38.939-0.365   38.9067        -0.4737        38.9073        -0.4722     
38.939-0.365   38.9163        -0.4059        38.9169        -0.4057     
38.939-0.365   38.9300        -0.4073        38.9306        -0.4075     
38.962-0.543   38.9628        -0.5443        38.9638        -0.5436        
38.977-0.618   38.9497        -0.6000        38.9493        -0.5994        
40.924-0.116   40.9261        -0.1210        40.9260        -0.1194      
41.089-0.274   41.0481        -0.2892        41.0487        -0.2889     
41.213-0.137   41.1947        -0.1216        41.1948        -0.1215        
