map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
28.565-0.227   2              350            28.5823        -0.2297        281.0779       -3.9753        8.16 
28.566-0.339   1              250            28.5140        -0.3741        281.1754       -4.1020        0.00           
28.566-0.339   1              350            28.5145        -0.3741        281.1756       -4.1016        1.80  
28.566-0.339   12             250            28.5860        -0.3010        281.1432       -4.0046        0.00           
28.566-0.339   12             350            28.5866        -0.3006        281.1431       -4.0039        2.60   
28.714+0.143   1              250            28.6619        0.1469         280.7786       -3.7324        0.00           
28.714+0.143   1              350            28.6614        0.1467         280.7786       -3.7329        1.94  
28.986+0.024   1              250            28.9866        0.0236         281.0372       -3.4999        0.00           
28.986+0.024   1              350            28.9865        0.0247         281.0362       -3.4995        3.98     
29.026-0.623   1              250            29.0269        -0.6226        281.6317       -3.7591        0.00           
29.026-0.623   1              350            29.0272        -0.6223        281.6316       -3.7587        1.53  
29.174-0.496   1              250            29.1759        -0.4967        281.5876       -3.5691        0.00           
29.174-0.496   1              350            29.1757        -0.4961        281.5869       -3.5690        2.28  
29.284-0.629   1              250            29.3131        -0.6120        281.7531       -3.4996        0.00           
29.284-0.629   1              350            29.3133        -0.6125        281.7536       -3.4997        1.94 
30.308-0.245   1              250            30.3102        -0.2468        281.8832       -2.4457        0.00           
30.308-0.245   1              350            30.3104        -0.2466        281.8831       -2.4455        1.02 
30.314-0.137   2              250            30.3155        -0.1378        281.7885       -2.3913        0.00           
30.314-0.137   2              350            30.3161        -0.1379        281.7889       -2.3908        2.19   
30.438-0.1     1              250            30.4393        -0.0994        281.8108       -2.2636        0.00           
30.438-0.1     1              350            30.4401        -0.0988        281.8107       -2.2626        3.60 
30.578-0.252   1              250            30.5828        -0.2104        281.9752       -2.1866        0.00           
30.578-0.252   1              350            30.5831        -0.2110        281.9759       -2.1866        2.41 
30.615+0.237   2              250            30.6130        0.2353         281.5921       -1.9563        0.00           
30.615+0.237   2              350            30.6151        0.2375         281.5911       -1.9534        10.95
30.664-0.423   1              250            30.6639        -0.4133        282.1929       -2.2069        0.00           
30.664-0.423   1              350            30.6654        -0.4157        282.1957       -2.2067        10.19  
31.023-0.111   1              250            31.0237        -0.1114        282.0883       -1.7490        0.00           
31.023-0.111   1              350            31.0247        -0.1121        282.0894       -1.7485        4.39  
31.039+0.241   1              250            31.0244        0.2621         281.7561       -1.5780        0.00           
31.039+0.241   1              350            31.0257        0.2639         281.7551       -1.5761        7.99 
34.739-0.118   1              250            34.7393        -0.1186        283.7894       1.5544         0.00           
34.739-0.118   1              350            34.7394        -0.1190        283.7898       1.5543         1.48 
36.671-0.131   1              250            36.6707        -0.1282        284.6804       3.2684         0.00           
36.671-0.131   1              350            36.6710        -0.1304        284.6825       3.2677         7.99    
37.473+0.049   1              250            37.4745        0.0491         284.8905       4.0644         0.00           
37.473+0.049   1              350            37.4754        0.0494         284.8906       4.0653         3.42   
38.864-0.488   1              250            38.8555        -0.5010        286.0153       5.0404         0.00           
38.864-0.488   1              350            38.8559        -0.5009        286.0154       5.0408         1.48 
