map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
23.294-0.202   1              350            23.2773        -0.2152        278.6170       -8.6832        4.02    
23.294-0.202   2              250            23.3103        -0.1935        278.6129       -8.6439        0.00           
23.294-0.202   2              350            23.3101        -0.1938        278.6131       -8.6442        1.30  
23.296+0.055   1              250            23.2957        0.0548         278.3833       -8.5424        0.00           
23.296+0.055   1              350            23.2966        0.0550         278.3835       -8.5415        3.32  
23.378+0.098   1              250            23.3790        0.0991         278.3824       -8.4480        0.00           
23.378+0.098   1              350            23.3777        0.1000         278.3810       -8.4488        5.69  
23.382-0.022   1              250            23.3814        -0.0207        278.4910       -8.5011        0.00           
23.382-0.022   1              350            23.3819        -0.0206        278.4911       -8.5007        1.84 
23.423-0.103   1              250            23.3192        -0.1071        278.5395       -8.5962        0.00           
23.423-0.103   1              350            23.3196        -0.1071        278.5397       -8.5958        1.44  
23.423-0.103   2              250            23.3255        -0.1142        278.5488       -8.5938        0.00           
23.423-0.103   2              350            23.3272        -0.1140        278.5494       -8.5922        6.16  
23.423-0.103   3              250            23.3509        -0.1562        278.5984       -8.5907        0.00           
23.423-0.103   3              350            23.3522        -0.1558        278.5986       -8.5893        4.90 
23.423-0.103   4              250            23.3781        -0.1307        278.5881       -8.5548        0.00           
23.423-0.103   4              350            23.3786        -0.1297        278.5875       -8.5539        4.02  
23.463-0.23    1              250            23.4534        -0.2302        278.7125       -8.5338        0.00           
23.463-0.23    1              350            23.4546        -0.2294        278.7124       -8.5323        5.19 
23.477-0.536   1              250            23.4450        -0.5240        278.9724       -8.6764        0.00           
23.477-0.536   1              350            23.4464        -0.5238        278.9729       -8.6751        5.09  
23.477-0.536   2              250            23.4804        -0.5441        279.0070       -8.6542        0.00           
23.477-0.536   2              350            23.4804        -0.5422        279.0052       -8.6534        6.84 
23.477-0.536   3              250            23.4793        -0.5343        278.9976       -8.6507        0.00           
23.477-0.536   3              350            23.4796        -0.5329        278.9965       -8.6498        5.15 
23.56+0.331    1              250            23.5604        0.3309         278.2591       -8.1801        0.00           
23.56+0.331    1              350            23.5609        0.3321         278.2583       -8.1791        4.68  
23.646+0.245   1              250            23.6372        0.2484         278.3689       -8.1501        0.00           
23.646+0.245   1              350            23.6377        0.2483         278.3692       -8.1497        1.84  
23.646+0.245   2              250            23.6476        0.2437         278.3779       -8.1430        0.00           
23.646+0.245   2              350            23.6474        0.2437         278.3778       -8.1432        0.72
23.69+0.263    1              250            23.6906        0.2640         278.3798       -8.0955        0.00           
23.69+0.263    1              350            23.6899        0.2652         278.3784       -8.0956        5.00  
23.766+0.534   1              250            23.7913        0.5332         278.1855       -7.8819        0.00           
23.766+0.534   1              350            23.7914        0.5334         278.1854       -7.8818        0.80   
23.864+0.018   1              250            23.8627        0.0199         278.6787       -8.0553        0.00           
23.864+0.018   1              350            23.8628        0.0201         278.6785       -8.0551        0.80 
23.923-0.208   1              250            23.9250        -0.2081        278.9121       -8.1049        0.00           
23.923-0.208   1              350            23.9244        -0.2078        278.9115       -8.1053        2.41  
23.98+0.149    1              250            23.9788        0.1506         278.6155       -7.8920        0.00           
23.98+0.149    1              350            23.9796        0.1507         278.6158       -7.8913        2.90   
24.05-0.214    1              250            24.0496        -0.2140        278.9753       -7.9970        0.00           
24.05-0.214    1              350            24.0499        -0.2141        278.9755       -7.9968        1.14 
24.097+0.349   1              250            24.0799        0.3451         278.4883       -7.7127        0.00           
24.097+0.349   1              350            24.0810        0.3446         278.4893       -7.7119        4.35 
24.193-0.081   1              250            24.1956        -0.0795        278.9225       -7.8055        0.00           
24.193-0.081   1              350            24.1958        -0.0793        278.9224       -7.8052        1.02 
24.296+0.206   1              250            24.2982        0.2126         278.7085       -7.5800        0.00           
24.296+0.206   1              350            24.2980        0.2123         278.7086       -7.5803        1.30 
24.315+0.083   1              250            24.3547        0.0423         278.8872       -7.6082        0.00           
24.315+0.083   1              350            24.3521        0.0395         278.8885       -7.6118        13.76    
24.325-0.123   1              250            24.3193        -0.1217        279.0177       -7.7151        0.00           
24.325-0.123   1              350            24.3204        -0.1221        279.0186       -7.7143        4.21     
24.355+0.254   1              250            24.3646        0.2896         278.6704       -7.4856        0.00           
24.355+0.254   1              350            24.3666        0.2922         278.6690       -7.4826        11.81     
24.373-0.157   2              250            24.3657        -0.1670        279.0798       -7.6947        0.00           
24.373-0.157   2              350            24.3657        -0.1666        279.0795       -7.6945        1.44    
24.392+0.448   1              250            24.3788        0.4557         278.5283       -7.3964        0.00           
24.392+0.448   1              350            24.3794        0.4555         278.5287       -7.3960        2.28  
24.467+0.285   1              250            24.4563        0.2864         278.7158       -7.4056        0.00           
24.467+0.285   1              350            24.4578        0.2858         278.7171       -7.4046        5.82        
24.475-0.518   1              250            24.4936        -0.4992        279.4369       -7.7337        0.00           
24.475-0.518   1              350            24.4943        -0.4997        279.4377       -7.7333        3.10  
24.485-0.22    1              250            24.4583        -0.2754        279.2199       -7.6623        0.00           
24.485-0.22    1              350            24.4572        -0.2761        279.2201       -7.6636        4.69   
24.491+0.339   3              250            24.5298        0.3225         278.7176       -7.3238        0.00           
24.491+0.339   3              350            24.5286        0.3226         278.7170       -7.3248        4.33  
24.491+0.339   4              250            24.5268        0.3524         278.6895       -7.3127        0.00           
24.491+0.339   4              350            24.5283        0.3515         278.6910       -7.3118        6.30    
24.566+0.343   1              250            24.5675        0.3311         278.7274       -7.2863        0.00           
24.566+0.343   1              350            24.5670        0.3332         278.7253       -7.2858        7.77  
24.566+0.343   2              250            24.5966        0.3316         278.7405       -7.2603        0.00           
24.566+0.343   2              350            24.5959        0.3330         278.7389       -7.2603        5.63  
24.576-0.262   1              250            24.5760        -0.2640        279.2643       -7.5525        0.00           
24.576-0.262   1              350            24.5762        -0.2648        279.2651       -7.5527        2.97   
24.596+0.133   1              250            24.5964        0.1354         278.9160       -7.3508        0.00           
24.596+0.133   1              350            24.5971        0.1357         278.9161       -7.3500        2.74     
24.668-0.115   1              250            24.6915        -0.1243        279.1926       -7.3857        0.00           
24.668-0.115   1              350            24.6912        -0.1240        279.1922       -7.3859        1.53  
24.813-0.107   1              250            24.8172        -0.1285        279.2546       -7.2760        0.00           
24.813-0.107   1              350            24.8170        -0.1288        279.2548       -7.2763        1.30   
24.855+0.683   1              250            24.8552        0.6834         278.5459       -6.8687        0.00           
24.855+0.683   1              350            24.8561        0.6834         278.5463       -6.8679        3.24  
24.964-0.173   1              250            24.8627        -0.1184        279.2667       -7.2310        0.00           
24.964-0.173   1              350            24.8633        -0.1182        279.2668       -7.2303        2.28       
24.964-0.173   3              250            24.9331        -0.1687        279.3443       -7.1915        0.00           
24.964-0.173   3              350            24.9336        -0.1680        279.3439       -7.1908        3.10 
24.964-0.173   5              250            24.9636        -0.1714        279.3608       -7.1657        0.00           
24.964-0.173   5              350            24.9645        -0.1721        279.3619       -7.1652        4.10     
24.964-0.173   6              250            24.9552        -0.0788        279.2740       -7.1306        0.00           
24.964-0.173   6              350            24.9553        -0.0792        279.2744       -7.1307        1.48    
24.964-0.173   7              250            24.9935        -0.0993        279.3101       -7.1060        0.00           
24.964-0.173   7              350            24.9944        -0.0995        279.3107       -7.1053        3.32   
25.046-0.183   1              250            25.0483        -0.1813        279.4089       -7.0950        0.00           
25.046-0.183   1              350            25.0472        -0.1805        279.4077       -7.0956        4.90  
25.075+0.202   1              250            25.0753        0.2019         279.0785       -6.8949        0.00           
25.075+0.202   1              350            25.0754        0.2023         279.0782       -6.8947        1.48 
25.076+0.182   1              250            25.0766        0.1828         279.0962       -6.9026        0.00           
25.076+0.182   1              350            25.0767        0.1826         279.0964       -6.9026        0.80     
25.142-0.471   1              250            25.1590        -0.4619        279.7113       -7.1254        0.00           
25.142-0.471   1              350            25.1593        -0.4621        279.7116       -7.1252        1.30     
25.166+0.753   1              250            25.1679        0.7527         278.6290       -6.5593        0.00           
25.166+0.753   1              350            25.1676        0.7544         278.6273       -6.5588        6.21  
25.266+0.38    1              250            25.2706        0.3797         279.0099       -6.6398        0.00           
25.266+0.38    1              350            25.2705        0.3796         279.0099       -6.6399        0.51  
25.344-0.063   1              250            25.3311        -0.1209        279.4856       -6.8160        0.00           
25.344-0.063   1              350            25.3311        -0.1205        279.4852       -6.8158        1.44 
25.354+0.263   2              250            25.3394        0.2695         279.1403       -6.6293        0.00           
25.354+0.263   2              350            25.3393        0.2704         279.1394       -6.6290        3.26    
25.365-0.435   1              250            25.3662        -0.4353        279.7832       -6.9290        0.00           
25.365-0.435   1              350            25.3658        -0.4355        279.7832       -6.9295        1.61
25.563+0.633   1              250            25.5631        0.6353         278.9169       -6.2625        0.00           
25.563+0.633   1              350            25.5639        0.6350         278.9175       -6.2619        3.08  
25.674-0.123   1              250            25.6642        -0.1190        279.6378       -6.5192        0.00           
25.674-0.123   1              350            25.6644        -0.1189        279.6378       -6.5189        0.80 
25.747+0.028   1              250            25.7470        0.0284         279.5442       -6.3780        0.00           
25.747+0.028   1              350            25.7472        0.0290         279.5438       -6.3775        2.28  
25.772+0.215   1              250            25.7406        0.2416         279.3507       -6.2858        0.00           
25.772+0.215   1              350            25.7399        0.2421         279.3499       -6.2862        3.10     
25.795+0.602   1              250            25.7973        0.6021         279.0548       -6.0698        0.00           
25.795+0.602   1              350            25.7984        0.6015         279.0559       -6.0691        4.51      
25.808+0.825   1              250            25.7856        0.8207         278.8542       -5.9797        0.00           
25.808+0.825   1              350            25.7858        0.8214         278.8537       -5.9792        2.62 
26.147+0.035   1              250            26.1457        0.0356         279.7218       -6.0204        0.00           
26.147+0.035   1              350            26.1467        0.0346         279.7231       -6.0200        5.09     
26.25-0.03     1              250            26.2508        -0.0306        279.8294       -5.9573        0.00           
26.25-0.03     1              350            26.2514        -0.0305        279.8295       -5.9568        2.19  
26.291+0.134   1              250            26.2596        0.1336         279.6867       -5.8742        0.00           
26.291+0.134   1              350            26.2600        0.1342         279.6864       -5.8736        2.60   
26.291+0.134   2              250            26.2911        0.1340         279.7009       -5.8461        0.00           
26.291+0.134   2              350            26.2910        0.1349         279.7000       -5.8457        3.26  
26.329-0.372   1              250            26.3134        -0.3564        280.1494       -6.0510        0.00           
26.329-0.372   1              350            26.3133        -0.3565        280.1494       -6.0511        0.51  
26.344+0.135   1              250            26.3454        0.1374         279.7229       -5.7962        0.00           
26.344+0.135   1              350            26.3449        0.1378         279.7223       -5.7965        2.31 
26.432-0.662   2              250            26.4181        -0.6421        280.4530       -6.0886        0.00           
26.432-0.662   2              350            26.4185        -0.6414        280.4526       -6.0879        2.90    
26.432-0.662   3              250            26.4341        -0.6617        280.4779       -6.0834        0.00           
26.432-0.662   3              350            26.4350        -0.6624        280.4790       -6.0829        4.10 
