map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
37.35-0.255    5              250            37.3814        -0.2592        285.1227       3.8406         0.00           
37.35-0.255    5              350            37.3827        -0.2582        285.1224       3.8423         5.90 
37.558+0.186   1              250            37.5586        0.1865         284.8065       4.2020         0.00           
37.558+0.186   1              350            37.5583        0.1857         284.8071       4.2014         3.08 
38.356-0.96    1              250            38.3881        -0.9576        286.2073       4.4157         0.00           
38.356-0.96    1              350            38.3890        -0.9575        286.2077       4.4165         3.26  
39.286-0.025   1              250            39.2952        -0.0592        285.8234       5.6337         0.00           
39.286-0.025   1              350            39.2950        -0.0588        285.8229       5.6337         1.61 
41.049-0.138   1              250            41.0946        -0.1202        286.7092       7.2043         0.00           
41.049-0.138   1              350            41.0952        -0.1194        286.7087       7.2052         3.60 
41.065-0.234   1              250            41.1179        -0.1880        286.7807       7.1938         0.00           
41.065-0.234   1              350            41.1201        -0.1849        286.7789       7.1972         13.68 
41.182-0.161   1              250            41.1522        -0.1549        286.7669       7.2395         0.00           
41.182-0.161   1              350            41.1522        -0.1543        286.7664       7.2397         2.16 
41.382+0.021   1              250            41.3744        0.0084         286.7238       7.5119         0.00           
41.382+0.021   1              350            41.3752        0.0076         286.7249       7.5122         4.07 
42.137-0.648   3              250            42.1368        -0.5824        287.6075       7.9162         0.00           
42.137-0.648   3              350            42.1377        -0.5827        287.6081       7.9169         3.42  
43.186-0.549   1              250            43.1917        -0.4915        288.0190       8.8936         0.00           
43.186-0.549   1              350            43.1921        -0.4911        288.0188       8.8941         2.04  
43.207-0.013   1              250            43.1493        -0.0438        287.5972       9.0630         0.00           
43.207-0.013   1              350            43.1498        -0.0427        287.5965       9.0639         4.35  
43.207-0.013   3              250            43.1947        -0.0362        287.6116       9.1068         0.00           
43.207-0.013   3              350            43.1958        -0.0361        287.6121       9.1078         3.98  
45.42-0.686    1              250            45.3588        -0.5891        289.1282       10.7673        0.00           
45.42-0.686    1              350            45.3590        -0.5890        289.1282       10.7676        0.80 
45.787-0.335   2              250            45.8225        -0.3043        289.0917       11.3103        0.00           
