-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    map        source        mass        luminosity      radius      temperature      err_temp         chisq          distance             glon            glat              ra               dec     
24.528-0.136       1        2119.07        218.677       0.797924        10.6481       0.674264        0.137918         5.19000          24.5250     -0.139500       279.129      -7.54050
24.547-0.736       1        931.967        43.8943       0.490617        9.22659       0.490390      0.00153024         3.29000          24.5432     -0.731900       279.669      -7.79640
24.552+0.096       1        147.450        47.7510       0.532278        13.2066        1.00088        0.197360         3.44000          24.5517      0.100500       278.927      -7.40650
24.562+0.452       2        31.8629        34.8275       0.441014        17.5669        1.84676        0.213923         3.06000          24.5911      0.446900       278.635      -7.21200
24.579-0.141       1        129.298        69.4970       0.525732        14.9849        1.38800        0.179223         3.48000          24.6104     -0.130500       279.161      -7.46060
24.59-0.229       1        216.338        235.540       0.765914        17.7163        1.94103      0.00221610         5.31000          24.5657     -0.228400       279.228      -7.54530
24.59-0.229       2        525.826        189.796       0.821274        13.4244        1.02004        0.551664         5.31000          24.5912     -0.230500       279.241      -7.52360
24.668-0.115       1        4510.05        1530.81       0.955457        13.3367        1.02110        0.209184         5.87000          24.6253     -0.100500       279.141      -7.43350
24.782+0.113       3        15104.4        4991.36       0.506396        13.2891        1.01953        0.124098         5.79000          24.7939      0.103100       279.036      -7.19030
24.804+0.142       1        4405.68        2463.78       0.982782        14.9737        1.32275       0.0625985         5.62000          24.7835      0.114100       279.022      -7.19440
24.964-0.173       2        31.2665        61.6495       0.454632        20.9990        3.04186        0.991758         3.21000          24.8503     -0.110000       279.253      -7.23820
24.964-0.173       4        353.337        77.3983       0.470499        12.3185       0.907098       0.0834259         3.21000          24.9040     -0.140700       279.306      -7.20450
24.964-0.173       6        948.721        72.6273       0.526405        9.97433       0.558574        0.178008         3.21000          24.9146     -0.129500       279.301      -7.18990
24.964-0.173       8        69.6819        67.2993       0.504235        17.1662        1.80502     8.35593e-05         3.21000          24.9406    -0.0445000       279.237      -7.12780
24.964-0.173       9        89.2458        167.941       0.561340        20.4786        2.62981       0.0391456         3.21000          24.9513    -0.0384000       279.236      -7.11550
25.078+0.04       1        3186.26        185.369       0.896955        9.48711       0.500986        0.282259         5.60000          25.0779     0.0405000       279.224      -6.96680
25.136-0.392       1        156.424        37.8307       0.688997        12.6499        1.06241         2.10111         3.94000          25.1415     -0.399800       279.648      -7.11240
25.166-0.306       2        8930.04        218.927       0.638432        8.06115       0.344758         2.38239         3.94000          25.1647     -0.303600       279.572      -7.04770
25.205-0.466       1        649.409        63.3113       0.582277        10.4269       0.613299        0.148226         3.85000          25.2057     -0.465000       279.736      -7.08530
25.229+0.105       1        195.974        287.553       0.991526        18.7884        2.09576        0.788149         5.67000          25.2305     0.0988000       279.242      -6.80450
25.254-0.166       1        302.385        58.5662       0.587890        12.0022       0.853268       0.0389162         3.89000          25.2557     -0.164900       279.490      -6.90320
25.263-0.323       1        36.6149        28.8866       0.458141        16.3737        1.65336       0.0431593         3.46000          25.2521     -0.322000       279.629      -6.97850
25.273-0.74       1        55.0798        22.1874       0.420480        13.9219        1.13754       0.0301379         3.40000          25.2606     -0.745000       280.012      -7.16470
25.283+0.288       2        320.448        1432.48       0.914582        26.4366        4.49566        0.817915         5.23000          25.3157      0.288900       279.112      -6.64140
25.322-0.374       1        1642.56        158.458       0.857304        10.1709       0.557489         1.80803         5.12000          25.3397     -0.377000       279.719      -6.92580
25.324+0.265       2        85.9896        55.4273       0.433283        15.6595        1.54564        0.345023         2.90000          25.3283      0.249500       279.153      -6.64830
25.329+0.348       1        327.640        119.304       0.909336        13.3931        1.00759        0.810336         5.20000          25.2098      0.345200       279.013      -6.70960
25.338-0.399       1        681.400        244.864       0.670136        13.2282       0.969170         1.46736         5.11000          25.3537     -0.388700       279.736      -6.91880
25.342-0.196       1        22.0707        47.6288       0.669761        21.2410        3.74862         8.23418         3.83000          25.4096     -0.314800       279.695      -6.83520
25.342-0.196       2        2156.74        1985.59       0.606624        16.1772        1.47223         2.67810         3.83000          25.3559     -0.190200       279.559      -6.82580
25.342-0.196       5        231.894        425.393       0.627384        20.1049        2.45592        0.486952         3.83000          25.4135     -0.191900       279.587      -6.77540
25.354+0.263       1        124.956        120.855       0.377153        16.8018        1.63559        0.920644         2.90000          25.3206      0.270800       279.130      -6.64540
25.354+0.263       3        106.934        56.1172       0.504027        14.5623        1.20864        0.670207         2.90000          25.3847      0.247800       279.181      -6.59900
25.394-0.361       4        2008.91        690.832       0.822489        13.2796       0.996141        0.574357         5.13000          25.4044     -0.338600       279.714      -6.85070
25.394-0.361       5        287.967        145.010       0.672759        14.4874        1.20490        0.429751         5.13000          25.4236     -0.318400       279.705      -6.82440
25.426-0.175       5        2235.71        1017.59       0.622449        14.0557        1.11498        0.865625         3.98000          25.4146     -0.174200       279.572      -6.76630
25.609+0.228       1        881.528        245.190       0.823464        12.6423       0.891378        0.839129         5.57000          25.5862      0.218700       279.300      -6.43350
25.609+0.228       3        6359.11        290.797       0.974039        9.23254       0.558302         2.27416         5.57000          25.6224      0.243400       279.294      -6.39000
25.674-0.123       3        671.208        343.482       0.450421        14.3927        1.16820         1.04665         5.15000          25.6715    -0.0445000       279.574      -6.47850
25.723+0.239       3        2834.68        1115.78       0.994062        12.8616       0.891805         5.20567         5.82000          25.7908      0.254000       279.363      -6.23550
25.772+0.215       2        371.942        374.368       0.491655        17.1345        1.73444        0.383555         5.40000          25.7288      0.193200       279.388      -6.31850
25.772+0.215       3        518.372        455.330       0.746150        16.4245        1.56005        0.830148         5.40000          25.7522      0.242300       279.355      -6.27510
25.772+0.215       6        548.099        833.041       0.887074        18.5827        2.00272         2.13799         5.40000          25.8036      0.270500       279.354      -6.21660
25.862+0.277       2        100.575        179.088       0.761864        19.3073        2.17123         2.53687         5.32000          25.8610      0.274100       279.377      -6.16390
25.982-0.056       1        474.292        131.667       0.804154        12.9108       0.989546       0.0165389         5.00000          25.9805    -0.0553000       279.727      -6.20890
26.069+0.936       1        383.361        44.1138       0.474809        10.8361       0.685896       0.0131980         2.96000          26.0688      0.936000       278.882      -5.67520
26.358+0.033       1        654.997        103.593       0.570194        11.4495       0.749632       0.0719444         3.60000          26.3580     0.0340000       279.821      -5.83250
26.432-0.662       1        531.816        36.8464       0.685499        9.83069       0.548572       0.0516596         3.92000          26.4081     -0.608400       280.418      -6.08210
26.432-0.662       3        312.945        183.902       0.685499        15.0377        1.30968        0.345410         3.92000          26.4800     -0.618600       280.461      -6.02280
26.456-0.392       1        132.457        60.0158       0.611196        13.7275        1.03628         2.49349         4.21000          26.4496     -0.414400       280.264      -5.95640
26.456-0.392       2        116.205        47.6703       0.520653        13.5020        1.00432         2.08484         4.21000          26.5092     -0.410500       280.288      -5.90160
26.469-0.592       1        128.071        61.8924       0.467475        14.2963        1.16258        0.650775         3.78000          26.4926     -0.599800       280.449      -6.00300
26.524-0.358       1        276.174        93.1585        1.01251        13.1570       0.968379        0.895528         5.79000          26.5315     -0.329200       280.225      -5.84460
26.524-0.358       2        390.186        199.179       0.917992        13.8255        1.04279         4.00232         5.79000          26.5465     -0.348100       280.249      -5.83990
26.532-0.103       2        487.499        102.614       0.729150        11.2980       0.679468         5.40202         5.56000          26.5257    -0.0448000       279.969      -5.71950
26.532-0.103       4        88.1816        55.9034       0.856188        14.9549        1.25283         1.82814         5.56000          26.5482    -0.0801000       280.011      -5.71570
26.578-0.147       1        17.2465        18.0651       0.242394        16.8413        1.61454         2.13024         1.96000          26.5680     -0.151600       280.084      -5.73080
26.578-0.147       2        13.8335        15.3924       0.257039        16.7194        1.57158         3.76120         1.96000          26.5805     -0.115100       280.057      -5.70300
26.581+0.429       1        460.470        839.713       0.797293        19.9338        2.38363        0.875774         4.83000          26.5294      0.423500       279.552      -5.50150
26.594-0.303       2        628.504        337.083       0.776253        14.7224        1.25144        0.345777         5.68000          26.5753     -0.323800       280.241      -5.80320
26.615-0.112       1        1.55829        10.8699       0.237447        30.6001        6.16142         1.81641         1.92000          26.6099    -0.0844000       280.043      -5.66280
26.657+0.007       1        915.619        628.417       0.896133        15.3492        1.33446         1.32111         5.36000          26.6518    0.00800000       279.980      -5.58330
27.016+0.204       2        3872.84        82.3730       0.800968        7.58171       0.300273         7.29945         5.16000          27.0480      0.194400       279.996      -5.14570
27.021+0.289       1        7123.55        234.629       0.884663        8.18765       0.350790         5.84708         5.24000          27.0283      0.283200       279.907      -5.12250
27.021+0.289       2        6025.00        235.277       0.884663        8.46477       0.375711         5.05290         5.24000          27.0313      0.279500       279.912      -5.12150
27.102-0.558       2        863.155        205.978       0.777194        11.8970       0.762843         3.11618         4.83000          27.1012     -0.558300       280.692      -5.44280
27.478+0.138       1        6575.91        1414.77       0.873511        11.7816       0.752866         2.20476         5.53000          27.4811      0.129400       280.253      -4.79040
27.478+0.138       2        5521.76        1447.36       0.873511        12.3471       0.835847         1.65579         5.53000          27.4842      0.133000       280.251      -4.78600
27.525+0.198       3        318.008        302.392       0.900592        16.5075        1.55119         1.81250         5.15000          27.5386      0.213000       280.204      -4.70100
27.538+0.231       1        316.518        412.754       0.921577        18.0033        1.88314         1.47618         5.27000          27.5163      0.200900       280.205      -4.72640
27.538+0.231       2        400.665        389.514       0.921577        16.5314        1.55100         2.10368         5.27000          27.5189      0.204600       280.203      -4.72240
27.538+0.231       3        132.344        181.099       0.790364        18.9794        2.46499         1.30861         5.27000          27.5430      0.203100       280.215      -4.70170
27.586+0.06       1        3136.47        3351.81       0.832392        17.3327        1.76562        0.588178         4.76000          27.5637     0.0855000       280.330      -4.73710
27.661+0.114       3        8231.53        378.013       0.949557        8.83528       0.412846         3.18051         5.43000          27.6892     0.0966000       280.377      -4.62040
27.832-0.338       1        145.482        62.2088       0.536858        13.4026       0.979036         3.36488         3.07000          27.8314     -0.337700       280.830      -4.69250
28.003-0.01       1        1044.04        114.303       0.693767        10.7080       0.660731      0.00507353         4.33000          28.0093    -0.0563000       280.661      -4.40570
28.003-0.01       2        69.5288        143.010       0.694683        20.9942        2.77141       0.0600118         4.33000          27.9891    -0.0163000       280.616      -4.40540
28.003-0.01       3        276.263        338.782       0.757197        17.9901        1.91993        0.516720         4.33000          28.0341    -0.0669000       280.681      -4.38850
28.003-0.01       4        120.071        159.931       0.672713        17.8872        1.83866         2.30818         4.33000          28.0210   -0.00610000       280.621      -4.37230
28.178-0.091       1        1155.10        133.565       0.775291        10.4967       0.594067         1.93026         5.35000          28.1799    -0.0928000       280.771      -4.27060
