-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
  17.968-0.344      1        17.9669        -0.3630       276.2401       -13.4564
  17.991-0.348      1        17.9916        -0.3471       276.2376       -13.4272
  17.991-0.348      2        18.0054        -0.3483       276.2453       -13.4155
  17.991-0.348      3        18.0045        -0.3239       276.2227       -13.4049
  18.001-0.468      1        17.9997        -0.4681       276.3515       -13.4764
  18.001-0.468      2        18.0142        -0.4585       276.3497       -13.4592
  18.021-0.361      1        18.0248        -0.3865       276.2894       -13.4162
  18.021-0.361      2        18.0205        -0.3743       276.2762       -13.4143
  18.021-0.361      3        18.0055        -0.3490       276.2460       -13.4157
  18.021-0.361      4        18.0336        -0.3665       276.2754       -13.3990
   18.03-0.249      1        18.0357        -0.2460       276.1669       -13.3409
   18.036-0.34      1        18.0625        -0.3756       276.2975       -13.3778
  18.056-0.432      1        18.0750        -0.4292       276.3523       -13.3917
  18.103+0.377      1        18.1042         0.3702       275.6407       -12.9917
  18.109+0.358      1        18.1096         0.3619       275.6509       -12.9907
  18.109+0.358      2        18.1210         0.3597       275.6584       -12.9817
   18.111-0.26      1        18.1146        -0.2701       276.2267       -13.2824
  18.115+0.272      1        18.1162         0.2744       275.7334       -13.0261
  18.124-0.375      1        18.1062        -0.3833       276.3255       -13.3427
  18.124-0.375      2        18.1289        -0.3603       276.3155       -13.3119
  18.132-0.395      1        18.1344        -0.4215       276.3738       -13.3356
  18.132-0.395      2        18.1425        -0.4009       276.3589       -13.3188
  18.134+0.327      1        18.1333         0.3430       275.6794       -12.9788
  18.134+0.327      2        18.1404         0.3367       275.6886       -12.9754
  18.134+0.327      3        18.1375         0.3514       275.6739       -12.9711
  18.145-0.416      1        18.1144        -0.4524       276.3923       -13.3678
  18.145-0.416      2        18.1598        -0.5176       276.4734       -13.3580
  18.145-0.416      3        18.1231        -0.4494       276.3937       -13.3586
  18.145-0.416      4        18.1040        -0.4090       276.3479       -13.3567
  18.145-0.416      5        18.1022        -0.3963       276.3354       -13.3523
  18.145-0.416      6        18.1095        -0.4001       276.3423       -13.3476
  18.145-0.416      7        18.1063        -0.3835       276.3257       -13.3427
  18.145-0.416      8        18.1344        -0.4215       276.3738       -13.3356
  18.145-0.416      9        18.1371        -0.3984       276.3540       -13.3225
  18.145-0.416     10        18.1312        -0.3832       276.3374       -13.3205
  18.145-0.416     11        18.1425        -0.4009       276.3589       -13.3188
  18.145-0.416     12        18.1551        -0.4128       276.3758       -13.3132
  18.145-0.416     13        18.1417        -0.3909       276.3494       -13.3149
  18.145-0.416     14        18.1398        -0.3835       276.3418       -13.3131
  18.145-0.416     15        18.1335        -0.3728       276.3291       -13.3137
  18.145-0.416     16        18.1635        -0.4228       276.3889       -13.3105
  18.145-0.416     17        18.1422        -0.3769       276.3370       -13.3080
  18.145-0.416     18        18.1594        -0.4066       276.3722       -13.3066
  18.145-0.416     19        18.1570        -0.4020       276.3669       -13.3065
  18.145-0.416     20        18.1502        -0.3854       276.3485       -13.3048
  18.145-0.416     21        18.1526        -0.3883       276.3523       -13.3041
  18.145-0.416     22        18.1509        -0.3790       276.3430       -13.3012
  18.145-0.416     23        18.1490        -0.3748       276.3383       -13.3009
  18.145-0.416     24        18.1596        -0.3904       276.3576       -13.2989
  18.145-0.416     25        18.1570        -0.3849       276.3514       -13.2986
  18.145-0.416     26        18.1767        -0.4195       276.3923       -13.2973
  18.145-0.416     27        18.1683        -0.4028       276.3731       -13.2969
