-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
    0.19-0.566      2         0.1891        -0.5329       267.0381       -29.0509
    0.192-0.25      1         0.1980        -0.2797       266.7956       -28.9123
   0.193+0.007      1         0.2066        -0.0010       266.5287       -28.7603
    0.196+0.01      1         0.1986         0.0081       266.5151       -28.7624
   0.218-0.058      1         0.2165        -0.0507       266.5830       -28.7777
   0.224-0.054      1         0.2149        -0.0740       266.6049       -28.7912
   0.226-0.014      1         0.2120        -0.0270       266.5573       -28.7692
   0.226-0.014      2         0.2066        -0.0010       266.5287       -28.7603
   0.226-0.014      3         0.2168        -0.0143       266.5477       -28.7585
   0.226-0.014      4         0.2314        -0.0081       266.5504       -28.7428
   0.226-0.014      5         0.2354         0.0090       266.5361       -28.7305
   0.226-0.014      6         0.2588        -0.0289       266.5869       -28.7302
    0.231-0.12      1         0.2321        -0.1265       266.6662       -28.8037
   0.234-0.145      1         0.2480        -0.1641       266.7123       -28.8096
   0.234-0.145      2         0.2584        -0.1256       266.6809       -28.7808
   0.234-0.145      3         0.2832        -0.1555       266.7248       -28.7751
   0.242+0.139      1         0.2413         0.1173       266.4342       -28.6691
   0.257-0.336      1         0.2571        -0.4034       266.9514       -28.9258
   0.257-0.336      2         0.2556        -0.3582       266.9063       -28.9037
   0.257-0.336      3         0.2443        -0.3413       266.8832       -28.9046
   0.257-0.336      4         0.2846        -0.3460       266.9116       -28.8726
   0.257-0.336      5         0.2790        -0.3322       266.8948       -28.8703
   0.261-0.201      1         0.2486        -0.1869       266.7349       -28.8210
   0.263-0.255      1         0.2486        -0.1869       266.7349       -28.8210
   0.263-0.255      2         0.3157        -0.2004       266.7878       -28.7705
   0.263-0.255      3         0.3062        -0.1690       266.7515       -28.7624
   0.263-0.255      4         0.3144        -0.1017       266.6907       -28.7205
   0.263-0.255      5         0.3285        -0.1040       266.7014       -28.7097
   0.263-0.255      6         0.3191        -0.0736       266.6662       -28.7019
   0.263-0.255      7         0.3304        -0.0700       266.6694       -28.6904
   0.263-0.255      8         0.3437        -0.0925       266.6991       -28.6907
   0.263-0.255      9         0.3309        -0.0570       266.6569       -28.6832
   0.263-0.255     10         0.3461        -0.0764       266.6849       -28.6803
   0.263-0.255     11         0.3551        -0.0884       266.7019       -28.6788
   0.263-0.255     12         0.3666        -0.0827       266.7031       -28.6661
   0.263-0.255     13         0.3516        -0.0427       266.6553       -28.6581
   0.263-0.255     14         0.3982        -0.0997       266.7384       -28.6478
   0.263-0.255     15         0.3939        -0.0913       266.7276       -28.6472
   0.267-0.123      1         0.2640        -0.1381       266.6965       -28.7825
   0.269-0.411      1         0.2646        -0.4114       266.9637       -28.9236
   0.273+0.086      1         0.2039         0.0522       266.4753       -28.7349
   0.273+0.086      2         0.1868         0.0807       266.4374       -28.7347
   0.273+0.086      3         0.2012         0.0667       266.4596       -28.7297
   0.273+0.086      4         0.1966         0.0940       266.4303       -28.7194
   0.273+0.086      5         0.2228         0.0602       266.4788       -28.7146
   0.273+0.086      6         0.2337         0.0470       266.4980       -28.7122
   0.273+0.086      7         0.2232         0.0715       266.4679       -28.7084
   0.273+0.086      8         0.2333         0.0729       266.4727       -28.6990
   0.273+0.086      9         0.2617         0.0675       266.4947       -28.6776
   0.273+0.086     10         0.2716         0.0569       266.5110       -28.6747
   0.273+0.086     11         0.2594         0.0884       266.4730       -28.6687
   0.273+0.086     12         0.2857         0.0728       266.5038       -28.6543
   0.278-0.028      1         0.2314        -0.0081       266.5504       -28.7428
   0.278-0.028      2         0.2590        -0.0287       266.5869       -28.7300
   0.278-0.028      3         0.2440         0.0053       266.5449       -28.7251
   0.278-0.028      4         0.2722        -0.0298       266.5958       -28.7193
   0.278-0.028      5         0.2577         0.0149       266.5436       -28.7084
   0.282+0.073      1         0.2806         0.0592       266.5140       -28.6658
   0.285-0.141      1         0.2480        -0.1640       266.7123       -28.8096
   0.285-0.141      2         0.2835        -0.1560       266.7254       -28.7751
   0.285-0.141      3         0.2805        -0.1222       266.6907       -28.7601
   0.285-0.141      4         0.3077        -0.1406       266.7247       -28.7464
   0.285-0.141      5         0.2999        -0.1172       266.6973       -28.7409
   0.287-0.341      1         0.2846        -0.3460       266.9116       -28.8726
   0.287-0.341      2         0.2790        -0.3322       266.8948       -28.8703
   0.295-0.045      1         0.2932        -0.0238       266.6024       -28.6982
   0.303-0.243      1         0.2954        -0.2519       266.8261       -28.8146
   0.306-0.169      1         0.3062        -0.1690       266.7515       -28.7624
   0.306-0.169      2         0.2807        -0.1225       266.6911       -28.7601
   0.306-0.169      3         0.3077        -0.1406       266.7247       -28.7464
   0.309-0.448      1         0.3166        -0.4472       267.0294       -28.8975
    0.31-0.428      1         0.3041        -0.4220       266.9974       -28.8952
   0.311-0.405      1         0.3176        -0.3882       266.9723       -28.8662
   0.314-0.382      1         0.3152        -0.3739       266.9569       -28.8608
    0.32-0.714      1         0.3290        -0.7088       267.2929       -29.0218
    0.32-0.714      2         0.3446        -0.6989       267.2924       -29.0033
   0.329-0.081      1         0.3077        -0.1406       266.7247       -28.7464
   0.329-0.081      2         0.3144        -0.1017       266.6907       -28.7205
   0.329-0.081      3         0.3285        -0.1040       266.7014       -28.7097
   0.329-0.081      4         0.3192        -0.0738       266.6664       -28.7019
   0.329-0.081      5         0.3448        -0.1050       266.7119       -28.6962
   0.329-0.081      6         0.3304        -0.0700       266.6694       -28.6904
   0.329-0.081      7         0.3437        -0.0925       266.6991       -28.6907
   0.329-0.081      8         0.3455        -0.0768       266.6849       -28.6809
   0.329-0.081      9         0.3713        -0.1143       266.7368       -28.6784
   0.329-0.081     10         0.3551        -0.0886       266.7021       -28.6789
    0.33-0.552      1         0.3067        -0.5803       267.1538       -28.9746
    0.33-0.552      2         0.2957        -0.5600       267.1274       -28.9737
    0.33-0.552      3         0.3056        -0.5707       267.1438       -28.9707
    0.33-0.552      4         0.2924        -0.5487       267.1145       -28.9707
    0.33-0.552      5         0.3131        -0.5796       267.1569       -28.9689
    0.33-0.552      6         0.3648        -0.6005       267.2078       -28.9353
    0.33-0.552      7         0.3549        -0.5647       267.1670       -28.9253
   0.337-0.107      1         0.3448        -0.1048       266.7117       -28.6961
   0.341+0.095      1         0.1298         0.0329       266.4502       -28.8082
   0.341+0.095      2         0.1398         0.0193       266.4693       -28.8068
   0.341+0.095      3         0.1746        -0.0338       266.5418       -28.8047
   0.341+0.095      4         0.1354         0.0308       266.4555       -28.8046
   0.341+0.095      5         0.1959        -0.0616       266.5814       -28.8010
