-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
   0.163-0.057     17         0.0698         0.0486       266.3991       -28.8513
   0.163-0.057     18         0.1570        -0.0829       266.5792       -28.8453
   0.163-0.057     19         0.1170        -0.0197       266.4938       -28.8466
   0.163-0.057     20         0.1109         0.0021       266.4689       -28.8404
   0.163-0.057     21         0.1427        -0.0490       266.5377       -28.8398
   0.163-0.057     22         0.1422         0.0053       266.4844       -28.8120
   0.163-0.057     23         0.1398         0.0202       266.4684       -28.8063
   0.163-0.057     24         0.2052        -0.0419       266.5678       -28.7828
   0.163-0.057     25         0.2171        -0.0498       266.5826       -28.7767
   0.163-0.057     26         0.2123        -0.0261       266.5566       -28.7685
   0.163-0.057     27         0.1638         0.0664       266.4377       -28.7618
   0.163-0.057     28         0.2072        -0.0005       266.5287       -28.7596
   0.163-0.057     29         0.2171        -0.0143       266.5480       -28.7582
   0.163-0.057     30         0.1630         0.0787       266.4253       -28.7560
   0.163-0.057     31         0.2319        -0.0076       266.5501       -28.7421
   0.163-0.057     32         0.2045         0.0523       266.4756       -28.7344
   0.163-0.057     33         0.1874         0.0811       266.4374       -28.7340
   0.163-0.057     34         0.2597        -0.0288       266.5874       -28.7294
   0.163-0.057     35         0.2365         0.0091       266.5367       -28.7295
   0.163-0.432      1         0.1230        -0.4996       266.9664       -29.0903
   0.163-0.432      2         0.1164        -0.4683       266.9318       -29.0798
   0.163-0.432      3         0.1536        -0.4538       266.9396       -29.0405
   0.163-0.432      4         0.1667        -0.4459       266.9396       -29.0252
   0.163-0.432      5         0.2201        -0.4697       266.9944       -28.9917
   0.166-0.445      1         0.1683        -0.4656       266.9598       -29.0339
   0.168+0.083      1         0.1638         0.0664       266.4377       -28.7618
   0.168+0.083      2         0.1630         0.0787       266.4253       -28.7560
   0.171-0.331      1         0.1985        -0.3266       266.8417       -28.9362
   0.171-0.331      2         0.2078        -0.3309       266.8514       -28.9305
   0.181-0.285      1         0.1985        -0.3266       266.8417       -28.9362
   0.181-0.285      2         0.1769        -0.2566       266.7605       -28.9184
   0.181-0.285      3         0.2110        -0.2537       266.7778       -28.8878
   0.183-0.416      1         0.2440        -0.4560       266.9952       -28.9642
   0.184-0.066      1         0.1964        -0.0614       266.5815       -28.8004
   0.188+0.052      1         0.2045         0.0523       266.4756       -28.7344
   0.188+0.052      2         0.1874         0.0811       266.4374       -28.7340
   0.188+0.052      3         0.2015         0.0672       266.4593       -28.7291
   0.188+0.052      4         0.2240         0.0719       266.4681       -28.7075
    0.19-0.566      1         0.1969        -0.5474       267.0568       -29.0517
   0.193+0.007      1         0.2072        -0.0006       266.5287       -28.7596
   0.196+0.082      1         0.1899         0.0677       266.4519       -28.7388
   0.216-0.183      1         0.2134        -0.1965       266.7234       -28.8560
   0.218-0.058      1         0.2053        -0.0420       266.5679       -28.7827
   0.222-0.505      1         0.2271        -0.5005       267.0287       -29.0017
   0.224-0.054      1         0.2152        -0.0937       266.6242       -28.8011
   0.226-0.014      1         0.2052        -0.0419       266.5678       -28.7828
   0.226-0.014      2         0.2171        -0.0498       266.5826       -28.7767
   0.226-0.014      3         0.2123        -0.0261       266.5566       -28.7685
   0.226-0.014      4         0.2072        -0.0006       266.5287       -28.7596
   0.226-0.014      5         0.2171        -0.0143       266.5480       -28.7582
   0.226-0.014      6         0.2319        -0.0076       266.5501       -28.7421
   0.234-0.145      1         0.2488        -0.1644       266.7131       -28.8092
   0.242+0.139      1         0.2406         0.1168       266.4342       -28.6699
   0.257-0.336      1         0.2576        -0.4041       266.9524       -28.9257
   0.257-0.336      2         0.2449        -0.3409       266.8831       -28.9040
   0.257-0.336      3         0.2839        -0.3460       266.9112       -28.8732
   0.257-0.336      4         0.2790        -0.3324       266.8949       -28.8703
   0.263-0.255      1         0.3165        -0.1997       266.7876       -28.7695
   0.263-0.255      2         0.3068        -0.1670       266.7499       -28.7609
   0.263-0.255      3         0.3143        -0.0989       266.6880       -28.7191
   0.263-0.255      4         0.3300        -0.1039       266.7021       -28.7083
   0.263-0.255      5         0.3201        -0.0734       266.6666       -28.7010
   0.263-0.255      6         0.3308        -0.0706       266.6701       -28.6904
   0.263-0.255      7         0.3469        -0.0769       266.6858       -28.6798
   0.263-0.255      8         0.3563        -0.0878       266.7020       -28.6775
   0.263-0.255      9         0.3669        -0.0824       266.7031       -28.6656
   0.263-0.255     10         0.3986        -0.0992       266.7381       -28.6472
   0.273+0.086      1         0.2045         0.0523       266.4756       -28.7343
   0.273+0.086      2         0.1874         0.0811       266.4374       -28.7340
   0.273+0.086      3         0.2015         0.0672       266.4593       -28.7291
   0.273+0.086      4         0.1970         0.0953       266.4292       -28.7184
   0.273+0.086      5         0.2341         0.0472       266.4981       -28.7118
   0.273+0.086      6         0.2243         0.0721       266.4681       -28.7071
   0.273+0.086      7         0.2853         0.0739       266.5025       -28.6541
   0.278-0.028      1         0.2319        -0.0076       266.5502       -28.7421
   0.278-0.028      2         0.2597        -0.0288       266.5874       -28.7294
   0.285-0.141      1         0.2799        -0.1221       266.6902       -28.7606
   0.285-0.141      2         0.3036        -0.1426       266.7242       -28.7510
   0.287-0.341      1         0.2839        -0.3460       266.9112       -28.8731
   0.287-0.341      2         0.2790        -0.3323       266.8949       -28.8703
    0.298+0.58      1         0.2982         0.5524       266.0457       -28.3934
   0.306-0.169      1         0.3068        -0.1670       266.7499       -28.7609
    0.31-0.428      1         0.3045        -0.4216       266.9973       -28.8946
   0.311-0.405      1         0.3180        -0.4551       267.0380       -28.9004
   0.317-0.006      1         0.3064        -0.0383       266.6242       -28.6944
    0.32-0.714      1         0.3228        -0.7409       267.3208       -29.0436
   0.329-0.081      1         0.3143        -0.0989       266.6880       -28.7191
   0.329-0.081      2         0.3300        -0.1039       266.7021       -28.7083
   0.329-0.081      3         0.3203        -0.0737       266.6669       -28.7010
   0.329-0.081      4         0.3308        -0.0706       266.6702       -28.6904
   0.329-0.081      5         0.3457        -0.0775       266.6857       -28.6812
    0.33-0.552      1         0.2959        -0.5598       267.1274       -28.9734
    0.33-0.552      2         0.3122        -0.5800       267.1568       -28.9699
   0.332-0.464      1         0.3244        -0.4553       267.0419       -28.8951
   0.341+0.095      1         0.1398         0.0202       266.4684       -28.8063
   0.341+0.095      2         0.1760        -0.0330       266.5418       -28.8031
   0.341+0.095      3         0.2052        -0.0419       266.5678       -28.7828
   0.341+0.095      4         0.1699         0.0205       266.4860       -28.7805
   0.341+0.095      5         0.2171        -0.0498       266.5826       -28.7767
   0.341+0.095      6         0.2123        -0.0261       266.5566       -28.7685
   0.341+0.095      7         0.1638         0.0664       266.4377       -28.7618
   0.341+0.095      8         0.2072        -0.0005       266.5287       -28.7596
   0.341+0.095      9         0.2171        -0.0143       266.5480       -28.7582
   0.341+0.095     10         0.1630         0.0787       266.4253       -28.7560
   0.341+0.095     11         0.2319        -0.0076       266.5501       -28.7421
   0.341+0.095     12         0.2709        -0.0634       266.6277       -28.7378
   0.341+0.095     13         0.2632        -0.0536       266.6136       -28.7392
   0.341+0.095     14         0.2045         0.0523       266.4756       -28.7344
   0.341+0.095     15         0.1874         0.0811       266.4374       -28.7340
   0.341+0.095     16         0.2597        -0.0288       266.5874       -28.7294
   0.341+0.095     17         0.2365         0.0091       266.5367       -28.7295
   0.341+0.095     18         0.2015         0.0672       266.4593       -28.7291
   0.341+0.095     19         0.2811        -0.0604       266.6308       -28.7276
   0.341+0.095     20         0.2243         0.0721       266.4681       -28.7071
   0.341+0.095     21         0.2899        -0.0206       266.5972       -28.6993
   0.341+0.095     22         0.2659         0.0346       266.5293       -28.6911
   0.341+0.095     23         0.2841         0.0386       266.5361       -28.6735
   0.341+0.095     24         0.3074         0.0168       266.5712       -28.6650
   0.341+0.095     25         0.3259        -0.0091       266.6074       -28.6626
   0.341+0.095     26         0.2970         0.0439       266.5387       -28.6597
   0.341+0.095     27         0.3240         0.0110       266.5866       -28.6538
   0.341+0.095     28         0.3331         0.0365       266.5672       -28.6328
   0.341+0.095     29         0.3412         0.0553       266.5538       -28.6161
   0.341+0.095     30         0.3774         0.0163       266.6132       -28.6054
   0.341+0.095     31         0.3763         0.0408       266.5887       -28.5936
   0.341+0.095     32         0.3930         0.0158       266.6228       -28.5923
   0.341-0.195      1         0.3218        -0.2175       266.8081       -28.7743
   0.344-0.649      1         0.3689        -0.7427       267.3496       -29.0050
   0.344-0.649      2         0.3754        -0.7295       267.3405       -28.9926
   0.344-0.649      3         0.3954        -0.7435       267.3660       -28.9827
   0.344-0.649      4         0.4058        -0.7523       267.3807       -28.9783
   0.344-0.649      5         0.3740        -0.6927       267.3036       -28.9749
   0.344-0.649      6         0.4006        -0.7241       267.3500       -28.9682
   0.344-0.649      7         0.3771        -0.6570       267.2705       -28.9539
   0.344-0.649      8         0.3959        -0.6618       267.2862       -28.9402
   0.344-0.649      9         0.3889        -0.6238       267.2449       -28.9267
   0.344-0.649     10         0.4487        -0.7062       267.3607       -28.9178
   0.344-0.649     11         0.4401        -0.6916       267.3414       -28.9177
   0.344-0.649     12         0.3982        -0.6045       267.2314       -28.9088
   0.344-0.649     13         0.4613        -0.7014       267.3634       -28.9045
   0.344-0.649     14         0.4141        -0.6158       267.2518       -28.9010
   0.344-0.649     15         0.4788        -0.7216       267.3935       -28.8999
   0.344-0.649     16         0.4758        -0.7128       267.3831       -28.8980
   0.344-0.649     17         0.4445        -0.6527       267.3058       -28.8938
   0.344-0.649     18         0.4149        -0.5975       267.2344       -28.8908
   0.344-0.649     19         0.4848        -0.7027       267.3785       -28.8851
   0.344-0.649     20         0.4727        -0.6863       267.3554       -28.8870
   0.344-0.649     21         0.4611        -0.6651       267.3277       -28.8860
   0.344-0.649     22         0.4375        -0.6181       267.2678       -28.8821
   0.344-0.649     23         0.4170        -0.5698       267.2086       -28.8747
   0.344-0.649     24         0.4971        -0.6935       267.3767       -28.8697
   0.344-0.649     25         0.4882        -0.6803       267.3585       -28.8705
   0.344-0.649     26         0.4703        -0.6330       267.3017       -28.8616
   0.344-0.649     27         0.4946        -0.6630       267.3453       -28.8562
   0.359-0.134      1         0.3425        -0.1669       266.7709       -28.7303
   0.359-0.134      2         0.3222        -0.1328       266.7256       -28.7300
   0.359-0.424      1         0.3244        -0.4553       267.0419       -28.8951
   0.361-0.781      1         0.3357        -0.7596       267.3466       -29.0422
   0.363-0.238      1         0.3509        -0.2739       266.8803       -28.7786
   0.373-0.159      1         0.3754        -0.1731       266.7965       -28.7054
   0.391-0.812      1         0.3925        -0.8547       267.4734       -29.0423
   0.392-0.238      1         0.3215        -0.2479       266.8376       -28.7902
   0.392-0.238      2         0.3265        -0.2413       266.8341       -28.7825
   0.392-0.238      3         0.3704        -0.2989       266.9162       -28.7748
   0.392-0.238      4         0.3602        -0.2632       266.8754       -28.7650
   0.392-0.238      5         0.3873        -0.2861       266.9137       -28.7537
   0.392-0.238      6         0.3969        -0.2996       266.9326       -28.7525
   0.392-0.238      7         0.4181        -0.2527       266.8993       -28.7100
   0.392-0.238      8         0.4086        -0.2131       266.8550       -28.6977
   0.392-0.238      9         0.4271        -0.2395       266.8917       -28.6955
   0.395-0.632      1         0.3947        -0.6616       267.2853       -28.9412
   0.395-0.632      2         0.3889        -0.6238       267.2449       -28.9267
   0.395-0.632      3         0.3981        -0.6049       267.2318       -28.9090
   0.396-0.775      1         0.3755        -0.7298       267.3409       -28.9927
   0.396-0.775      2         0.3954        -0.7435       267.3660       -28.9827
   0.396-0.775      3         0.4058        -0.7523       267.3807       -28.9783
   0.396-0.775      4         0.4006        -0.7241       267.3500       -28.9682
   0.406-0.714      1         0.4006        -0.7241       267.3500       -28.9682
   0.408-0.307      1         0.3969        -0.2996       266.9326       -28.7525
   0.408-0.307      2         0.4061        -0.2875       266.9262       -28.7383
   0.408-0.307      3         0.4409        -0.3300       266.9882       -28.7305
   0.409-0.248      1         0.4177        -0.2526       266.8990       -28.7104
   0.413-0.373      1         0.4165        -0.5401       267.1791       -28.8599
   0.413-0.373      2         0.4132        -0.5255       267.1629       -28.8552
   0.413-0.373      3         0.4094        -0.5029       267.1385       -28.8468
   0.413-0.373      4         0.4445        -0.3702       267.0295       -28.7482
   0.413-0.373      5         0.4450        -0.3521       267.0121       -28.7384
   0.436-0.227      1         0.3613        -0.1747       266.7897       -28.7183
   0.436-0.227      2         0.4088        -0.2131       266.8552       -28.6975
   0.436-0.227      3         0.4272        -0.2395       266.8918       -28.6954
   0.441-0.366      1         0.4451        -0.3523       267.0124       -28.7385
   0.446-0.307      1         0.3974        -0.2994       266.9327       -28.7520
   0.446-0.307      2         0.4171        -0.3163       266.9608       -28.7438
   0.446-0.307      3         0.4578        -0.3008       266.9697       -28.7010
    0.446-0.79      1         0.3683        -0.7436       267.3502       -29.0060
    0.446-0.79      2         0.4361        -0.8275       267.4723       -28.9910
    0.446-0.79      3         0.4114        -0.7651       267.3966       -28.9801
    0.446-0.79      4         0.3954        -0.7435       267.3660       -28.9827
    0.446-0.79      5         0.4437        -0.8180       267.4673       -28.9795
    0.446-0.79      6         0.4509        -0.8284       267.4818       -28.9787
    0.446-0.79      7         0.4058        -0.7523       267.3807       -28.9783
    0.446-0.79      8         0.4179        -0.7629       267.3982       -28.9733
    0.446-0.79      9         0.4009        -0.7244       267.3505       -28.9682
    0.446-0.79     10         0.4688        -0.8192       267.4833       -28.9586
    0.446-0.79     11         0.4730        -0.8098       267.4765       -28.9501
    0.446-0.79     12         0.4645        -0.7911       267.4533       -28.9478
    0.446-0.79     13         0.4588        -0.7665       267.4258       -28.9401
    0.446-0.79     14         0.4648        -0.7704       267.4331       -28.9370
    0.446-0.79     15         0.4597        -0.7580       267.4180       -28.9350
    0.446-0.79     16         0.4545        -0.7450       267.4022       -28.9328
   0.467-0.311      1         0.4722        -0.3536       267.0296       -28.7160
   0.475-0.623      1         0.4613        -0.7014       267.3634       -28.9045
   0.475-0.623      2         0.4882        -0.6803       267.3585       -28.8705
   0.475-0.623      3         0.4703        -0.6330       267.3017       -28.8616
   0.475-0.623      4         0.4949        -0.6630       267.3455       -28.8559
   0.475-0.623      5         0.5172        -0.6565       267.3522       -28.8335
   0.476+0.768      1         0.4885         0.7748       265.9437       -28.1147
   0.489-0.072      1         0.5092        -0.0789       266.7837       -28.5421
   0.494-0.211      1         0.4954        -0.2094       266.9027       -28.6215
   0.494-0.211      2         0.4794        -0.1855       266.8699       -28.6229
   0.494-0.211      1         0.4954        -0.2094       266.9027       -28.6215
   0.494-0.211      2         0.4794        -0.1855       266.8699       -28.6229
   0.498+0.805      1         0.4972         0.7978       265.9267       -28.0953
   0.498+0.805      2         0.4824         0.8300       265.8869       -28.0910
   0.498+0.805      3         0.5005         0.8176       265.9095       -28.0821
   0.499+0.776      1         0.4800         0.7708       265.9426       -28.1241
   0.503-0.788      1         0.4734        -0.7603       267.4282       -28.9244
   0.503-0.788      2         0.4893        -0.7839       267.4607       -28.9229
   0.503-0.788      3         0.4980        -0.7875       267.4693       -28.9173
   0.504+0.716      1         0.5133         0.7207       266.0108       -28.1220
   0.504-0.788      1         0.5069        -0.8084       267.4950       -28.9203
   0.508-0.583      1         0.5181        -0.6123       267.3096       -28.8100
   0.508-0.583      2         0.5331        -0.6081       267.3142       -28.7950
   0.508-0.583      3         0.5336        -0.5770       267.2841       -28.7785
   0.513+0.849      1         0.5138         0.8514       265.8849       -28.0531
   0.516-0.423      1         0.4144        -0.5246       267.1627       -28.8537
   0.516-0.423      2         0.4094        -0.5029       267.1385       -28.8468
   0.516-0.423      3         0.5257        -0.4457       267.1511       -28.7177
   0.516-0.423      4         0.5027        -0.3711       267.0647       -28.6989
   0.517+0.179      1         0.5022         0.1615       266.5458       -28.4233
   0.531+0.614      1         0.5454         0.6064       266.1402       -28.1544
   0.533-0.426      1         0.5128        -0.4589       267.1564       -28.7355
   0.536-0.678      1         0.5195        -0.7008       267.3970       -28.8543
   0.542+0.786      1         0.5363         0.7596       265.9868       -28.0821
   0.544-0.287      1         0.5158        -0.3168       267.0194       -28.6596
   0.544-0.287      2         0.5539        -0.3618       267.0857       -28.6502
   0.544-0.287      3         0.5073        -0.2768       266.9754       -28.6462
   0.544-0.287      4         0.5501        -0.3312       267.0536       -28.6377
   0.544-0.287      5         0.5407        -0.2961       267.0139       -28.6276
   0.544-0.287      6         0.5786        -0.2840       267.0244       -28.5889
   0.547-0.058      1         0.5670        -0.0511       266.7908       -28.4783
   0.547-0.058      2         0.5576        -0.0279       266.7626       -28.4743
   0.556-0.419      1         0.5498        -0.3864       267.1074       -28.6664
    0.56+0.817      1         0.5613         0.8195       265.9439       -28.0293
    0.561+0.54      1         0.5515         0.5684       266.1806       -28.1691
    0.561+0.54      2         0.5975         0.5534       266.2224       -28.1377
   0.566-0.456      1         0.5258        -0.4459       267.1513       -28.7177
   0.566-0.456      2         0.5655        -0.4357       267.1647       -28.6784
   0.566-0.456      3         0.5622        -0.4236       267.1510       -28.6749
   0.566-0.693      1         0.5703        -0.7672       267.4918       -28.8448
   0.574-0.524      1         0.5351        -0.5277       267.2368       -28.7518
   0.574-0.524      2         0.5603        -0.5639       267.2869       -28.7489
   0.574-0.524      3         0.5789        -0.5708       267.3046       -28.7365
   0.574-0.524      4         0.5924        -0.5698       267.3116       -28.7244
   0.574-0.524      5         0.5861        -0.5274       267.2664       -28.7080
   0.574-0.524      6         0.6227        -0.5417       267.3019       -28.6840
   0.574-0.524      7         0.6018        -0.5125       267.2611       -28.6869
   0.576-0.441      1         0.5273        -0.4481       267.1544       -28.7175
   0.576-0.441      2         0.6018        -0.5125       267.2611       -28.6869
   0.576-0.441      3         0.5977        -0.4620       267.2094       -28.6644
   0.576-0.441      4         0.6285        -0.4892       267.2539       -28.6519
   0.588-0.464      1         0.5977        -0.4620       267.2094       -28.6644
   0.589-0.628      1         0.5936        -0.6516       267.3923       -28.7654
   0.593-0.344      1         0.5760        -0.3608       267.0978       -28.6307
   0.597+0.896      1         0.5927         0.8849       265.8995       -27.9684
   0.598+0.694      1         0.6314         0.6423       266.1565       -28.0624
   0.598+0.694      2         0.6043         0.6933       266.0912       -28.0589
   0.598+0.694      3         0.6075         0.7101       266.0768       -28.0472
   0.598+0.694      4         0.6388         0.6560       266.1477       -28.0489
   0.598+0.694      5         0.6404         0.7117       266.0948       -28.0184
   0.598+0.694      6         0.6383         0.7258       266.0800       -28.0129
   0.598+0.694      7         0.6537         0.7216       266.0931       -28.0019
   0.598+0.694      8         0.6774         0.6937       266.1341       -27.9963
   0.598+0.694      9         0.6965         0.6951       266.1440       -27.9793
   0.598+0.694     10         0.7075         0.6999       266.1460       -27.9674
   0.598+0.694     11         0.7078         0.7137       266.1328       -27.9599
   0.598-0.427      1         0.6215        -0.4358       267.1977       -28.6304
   0.598-0.642      1         0.6032        -0.6381       267.3847       -28.7503
   0.601-0.617      1         0.6115        -0.6511       267.4023       -28.7498
   0.606-0.544      1         0.6227        -0.5417       267.3019       -28.6840
   0.606-0.544      2         0.6018        -0.5125       267.2611       -28.6869
    0.612+0.08      1         0.6045         0.0703       266.6948       -28.3833
   0.628-0.248      1         0.6225        -0.2673       267.0339       -28.5426
   0.645-0.117      1         0.6424        -0.1262       266.9082       -28.4527
   0.668+0.678      1         0.6670         0.6715       266.1494       -28.0167
   0.676-0.282      1         0.6855        -0.2918       267.0948       -28.5013
